FirstName,Surname,Position,Area
Francis,Mapfumo,Magistrate,Harare
Tendai ,Mahwe,Provincial Magistrate,Mutare
Florence ,Zambuko,Magistrate,Harare
Ruth,Moyo,Magistrate,Harare
Willard ,Moyo,Magistrate,Harare
Sikhethile ,Moyo,Magistrate,Harare
Marehwanazvo ,Gofa,Regional Magistrate,Harare
Ntombizodwa ,Mazhandu,Magistrate,Bulawayo
Ntombizodwa ,Sibanda,Magistrate,Resigned
Judith ,Taruvinga,Magistrate,Harare
Anita ,Tshuma,Magistrate,Harare
Chioneso ,Mutongi,Magistrate,Harare
Ignatius ,Mhene,Magistrate,Marondera
Rumbidzai ,Mugwagwa,Magistrate,Harare
Isheanesu ,Matova,Magistrate,Harare
Don ,Ndirowei,Magistrate,Harare
Tendai ,Chifamba,Magistrate,Bindura
Diana,Masiyiwa,Magistrate,Chiredzi
Chinzou ,Gloria,Magistrate,Unconfirmed
Dhambuza ,Naison,Magistrate,Mt Darwin
Hurungudo ,Itai,Magistrate,Unconfirmed
Jeffrey ,Karen,Magistrate,Unconfirmed
Kagwere,Aya,Magistrate,Unconfirmed
Faina ,Makumbe ,Magistrate,Unconfirmed
Moyo,Mehluli,Magistrate,Unconfirmed
Komborerai,Mukwesha,Magistrate,Unconfirmed
Rudo ,Mutezo ,Magistrate,Unconfirmed
 Makelo ,Ncube,Magistrate,Unconfirmed
Sekai,Chiwundura,Provincial Magistrate,Mashonaland East
Samantha ,Chigwedere,Magistrate,Unconfirmed
Tinotenda ,Makoti,Magistrate,Unconfirmed
Mbonisi ,Kaweni,Magistrate,Unconfirmed
Seluleko ,Mathuthu,Magistrate,Unconfirmed
Kudzanai ,Kapurura,Magistrate,Unconfirmed
Melody ,Nheweyembwa,Magistrate,Unconfirmed
Challenge ,Mahembe,Magistrate,Unconfirmed
Ernest ,Muzembe,Magistrate,Unconfirmed
Tafadzwanashe ,Marowi,Magistrate,Unconfirmed
Chikengezha ,Tonderai,Magistrate,Unconfirmed
Rangarirai ,Matan'ani,Magistrate,Unconfirmed
Tatenda ,Masaraunga,Magistrate,Guruve
Nashy ,Chinoperekweyi,Magistrate,Unconfirmed
Sithembiso ,Gowero,Magistrate,Unconfirmed
Michael ,Mufukidzi,Magistrate,Unconfirmed
Panashe,Matongo,Magistrate,Unconfirmed
Vimbai ,Chirayi,Magistrate,Unconfirmed
Alois ,Midzi,Magistrate,Unconfirmed
Ashton ,Dube,Magistrate,Unconfirmed
Kudzanai ,Mahaso,Magistrate,Unconfirmed
Kudzaishe ,Pemhiwa,Magistrate,Unconfirmed
Tendai,Nemadziva,Magistrate,Discharged
Kumbirai ,Nyika,Magistrate,Unconfirmed
Edwin,Marecha,Magistrate,Unconfirmed
Henry,Sande,Resident Magistrate,Kotwa(Resigned)
Lesigo,Ngwenya,Magistrate,Unconfirmed
Nomagugu,Sibanda,Resident Magistrate,Triangle
Honest,Musiiwa,Resident Magistrate,Gokwe
Vongai,Guwuriro,Chief Magistrate,Chief Magistrate
Brenda,Kachepa,Resident Magistrate,Chikombedzi
Tariro,Hove,Magistrate,Unconfirmed
Gillian,Padzakashamba,Magistrate,Unconfirmed
Nyengeterai,Bushu,Magistrate,Unconfirmed
Marvellous ,Joma,Magistrate,Unconfirmed
Bentone ,Matope,Magistrate,Unconfirmed
Samukelisiwe ,Mpande,Magistrate,Unconfirmed
Daphne ,Maruta,Magistrate,Unconfirmed
Moreblessing ,Mahaso,Magistrate,Unconfirmed
Samatha ,Ruponga,Magistrate,Unconfirmed
Cecilia ,Mhaka,Magistrate,Unconfirmed
Shepherd ,Ringoziwa,Magistrate,Resigned
Terence ,Mashaire,Magistrate,Discharged
Blessing ,Tsingano,Resident Magistrate,Plumtree
Charity ,Tonongera,Provincial Magistrate,Unconfirmed
Temba,Kuwanda,Regional Magistrate,Retired 2025
Yeukai,Dzuda,Resident Magistrate,Kadoma
Elijah,Sibanda,Resident Magistrate,Murehwa
Isaac ,Chikura,Magistrate,Unconfirmed
Catherine ,Dzivanyika,Magistrate,Unconfirmed
Hanna ,Fazilahmed,Magistrate,Unconfirmed
Molly ,Gwatida,Magistrate,Unconfirmed
Ivy ,Jawona,Magistrate,Unconfirmed
Titus ,Makunike,Magistrate,Mutoko
Ropafadzo ,Manyande,Magistrate,Discharged
Tatenda ,Mukurunge,Magistrate,Unconfirmed
Tinofirei ,Muronzi,Magistrate,Unconfirmed
Shumirai ,Mutimodhlo,Magistrate,Unconfirmed
Tafadzwa ,Nyambiya,Magistrate,Unconfirmed
Kudakwashe ,Sangarwe,Magistrate,Unconfirmed
Princess ,Tanyanyiwa,Magistrate,Unconfirmed
Edward ,Verenga,Magistrate,Unconfirmed
Tawedzerwa ,Zishiri,Magistrate,Unconfirmed
Lindiwe,Maphosa,Provincial Magistrate,Matebeleland North
Archie,Wochiunga,Provincial Magistrate,Unconfirmed
Sharon ,Gava,Magistrate,Unconfirmed
Hazel ,Zimbizi,Magistrate,Unconfirmed
Paidamoyo ,Mafusire,Magistrate,Unconfirmed
Natasha ,Muderedzwa,Magistrate,Unconfirmed
Deone ,Chiroyi,Magistrate,Unconfirmed
Zvikomborero ,Muganyi,Magistrate,Unconfirmed
Grace ,Sithole,Magistrate,Unconfirmed
Melinda ,Mupfungidza,Magistrate,Unconfirmed
Collet,Ncube,Deputy Chief Magistrate,Deputy Chief Magistrate
Phathekile ,Msipa,Regional Magistrate,Eastern Region
Clever ,Tsikwa,Regional Magistrate,Unconfirmed
Tranos,Utabgwashe,Regional Magistrate,Retired 2025
Ignatius ,Mugova,Regional Magistrate,Unconfirmed
Bishard,Chineka,Regional Magistrate,Unconfirmed
Charity ,Maphosa,Regional Magistrate,Unconfirmed
Chitatu ,Tsitsi,Provincial Magistrate,Unconfirmed
Samantha,Dhlamini,Provincial Magistrate,Unconfirmed
Linda,Dzvene,Provincial Magistrate,Unconfirmed
Rumbidzai,Kabasa,Provincial Magistrate,Unconfirmed
Kandiero,Learnear,Provincial Magistrate,Unconfirmed
Beverly,Madzikatire,Provincial Magistrate,Unconfirmed
Carolina,Matanga,Provincial Magistrate,Unconfirmed
Charity ,Maunga,Provincial Magistrate,Unconfirmed
Joyline,Mudhege,Provincial Magistrate,Unconfirmed
Moses,Musiiwa,Provincial Magistrate,Unconfirmed
Talent,Mutasa,Provincial Magistrate,Unconfirmed
Noratam ,Muneshkumar,Provincial Magistrate,Unconfirmed
Conceptor,Ngwerume,Provincial Magistrate,Unconfirmed
Sharon ,Nxongo,Provincial Magistrate,Unconfirmed
Busani,Sibanda,Provincial Magistrate,Unconfirmed
 Cherly,Tembo,Provincial Magistrate,Unconfirmed
Blessings,Tsingano,Provincial Magistrate,Unconfirmed
Grace,Tupiri,Provincial Magistrate,Unconfirmed
Mark,Dzira,Regional Magistrate,Western Division
Richard,Ramaboea,Provincial Magistrate,Bulawayo Provincial Head
Dambudzo,Malunga,Regional Magistrate,Plumtree
Learnmore ,Mapiye,Regional Magistrate,Unconfirmed
Tatenda,Mukwanya,Resident Magistrate,Murambinda
Thomas,Gurajena,Resident Magistrate,Tsholotsho
Evelyn,Mashavakure,Resident Magistrate,Chegutu
Hilary,Ndlovu,Resident Magistrate,Retired 2025
Tinashe,Ndokera,Provincial Magistrate,Mashonaland Central
